date,gold,silver
02/04/1990,368,4.9375
03/04/1990,374.8,5.001
04/04/1990,374.25,5.01
05/04/1990,378.1,5.1475
06/04/1990,380.35,5.179
09/04/1990,378.85,5.1435
10/04/1990,375.3,5.115
11/04/1990,374.1,5.085
12/04/1990,375.25,5.1275
17/04/1990,373.85,5.055
18/04/1990,374.7,5.0925
19/04/1990,376.6,5.091
20/04/1990,376.8,5.0775
23/04/1990,375.65,5.08
24/04/1990,377.95,5.1
25/04/1990,374.8,5.023
26/04/1990,371.35,4.96
27/04/1990,371.4,4.96
30/04/1990,371.55,4.936
01/05/1990,368.95,4.9525
02/05/1990,370.5,4.996
03/05/1990,369.15,5.01
04/05/1990,371.4,5.06
08/05/1990,372.1,5.0325
09/05/1990,369.7,4.9975
10/05/1990,371,5.0325
11/05/1990,368.25,5.049
14/05/1990,368.3,5.0515
15/05/1990,367.4,5.032
16/05/1990,369.6,5.02
17/05/1990,369.1,5.0275
18/05/1990,369.7,5.04
21/05/1990,373.4,5.1335
22/05/1990,372.4,5.125
23/05/1990,363.25,5.095
24/05/1990,367.65,5.2185
25/05/1990,366.35,5.225
29/05/1990,368.35,5.236
30/05/1990,365.7,5.13
31/05/1990,363.7,5.07
01/06/1990,363.1,5.074
04/06/1990,358.75,5.05
05/06/1990,357.85,5.05
06/06/1990,359.8,5.091
07/06/1990,353.25,4.986
08/06/1990,353.6,5.0125
11/06/1990,354.7,4.995
12/06/1990,356,5.01
13/06/1990,353,4.99
14/06/1990,346.75,4.91
15/06/1990,347.05,4.8375
18/06/1990,349,4.835
19/06/1990,348.45,4.8385
20/06/1990,347.05,4.8225
21/06/1990,350,4.8375
22/06/1990,349.35,4.822
25/06/1990,351.4,4.8425
26/06/1990,353.1,4.804
27/06/1990,350.3,4.811
28/06/1990,350.9,4.825
29/06/1990,352.4,4.84
02/07/1990,357.1,4.9075
03/07/1990,357.4,4.9575
04/07/1990,361.25,4.935
05/07/1990,358.85,4.8985
06/07/1990,360.35,4.88
09/07/1990,359.9,4.88
10/07/1990,357.55,4.8
11/07/1990,353.7,4.8125
12/07/1990,353.2,4.826
13/07/1990,359.1,4.896
16/07/1990,362.5,4.916
17/07/1990,361.3,4.85
18/07/1990,360.1,4.827
19/07/1990,361.55,4.881
20/07/1990,360.75,4.865
23/07/1990,361.8,4.882
24/07/1990,368.25,4.9
25/07/1990,367.4,4.874
26/07/1990,370.6,4.8525
27/07/1990,368.5,4.8365
30/07/1990,367.8,4.83
31/07/1990,371.1,4.855
01/08/1990,371.1,4.8125
02/08/1990,382.6,4.9325
03/08/1990,375.8,4.826
06/08/1990,380,4.875
07/08/1990,383.95,4.931
08/08/1990,384.75,4.872
09/08/1990,385.85,4.8825
10/08/1990,388.75,4.94
13/08/1990,399.9,5.085
14/08/1990,411,5.2015
15/08/1990,401.5,5.1325
16/08/1990,399.25,5.065
17/08/1990,410.5,5.21
20/08/1990,410.9,5.201
21/08/1990,407.85,5.16
22/08/1990,410,5.1165
23/08/1990,415.7,5.216
24/08/1990,412,5.134
28/08/1990,392.55,4.92
29/08/1990,389.1,4.86
30/08/1990,385.8,4.8375
31/08/1990,388.1,4.83
03/09/1990,387.5,4.85
04/09/1990,386.75,4.8165
05/09/1990,384.6,4.7575
06/09/1990,388.25,4.8
07/09/1990,388.85,4.7825
10/09/1990,382.5,4.77
11/09/1990,378.4,4.75
12/09/1990,380.65,4.795
13/09/1990,382.15,4.8175
14/09/1990,384.3,4.806
17/09/1990,387.9,4.7865
18/09/1990,390.55,4.785
19/09/1990,386.45,4.8
20/09/1990,386,4.795
21/09/1990,390.1,4.81
24/09/1990,390.15,4.829
25/09/1990,406.35,4.9275
26/09/1990,401.75,4.825
27/09/1990,401.9,4.7775
28/09/1990,406.1,4.795
01/10/1990,400,4.786
02/10/1990,389.25,4.69
03/10/1990,389.85,4.6915
04/10/1990,392.75,4.71
05/10/1990,393,4.715
08/10/1990,391.25,4.6675
09/10/1990,394.8,4.6925
10/10/1990,392.2,4.6275
11/10/1990,389.6,4.385
12/10/1990,388.3,4.2475
15/10/1990,381.85,4.259
16/10/1990,375.15,4.2025
17/10/1990,365.75,4.219
18/10/1990,370,4.2475
19/10/1990,371.75,4.2425
22/10/1990,368.5,4.231
23/10/1990,370.75,4.23
24/10/1990,371.1,4.2265
25/10/1990,373.9,4.23
26/10/1990,377.3,4.22
29/10/1990,371,4.07
30/10/1990,373.35,4.1365
31/10/1990,379.25,4.2225
01/11/1990,380.1,4.181
02/11/1990,379.75,4.23
05/11/1990,377.05,4.175
06/11/1990,381.4,4.223
07/11/1990,383.5,4.2265
08/11/1990,386.3,4.2625
09/11/1990,384.85,4.244
12/11/1990,381.9,4.2115
13/11/1990,383.2,4.21
14/11/1990,383.45,4.2
15/11/1990,378.5,4.175
16/11/1990,380.3,4.14
19/11/1990,377.6,4.13
20/11/1990,379.5,4.1435
21/11/1990,377.35,4.11
22/11/1990,380.2,4.1525
23/11/1990,380,4.145
26/11/1990,387.05,4.19
27/11/1990,384.25,4.1225
28/11/1990,384.75,4.114
29/11/1990,385.25,4.131
30/11/1990,384.8,4.0865
03/12/1990,381.75,4.1285
04/12/1990,377,4.164
05/12/1990,377.3,4.152
06/12/1990,373.8,4.121
07/12/1990,371.1,4.1475
10/12/1990,372.25,4.0975
11/12/1990,374.3,4.0825
12/12/1990,371.9,4.0635
13/12/1990,373,4.0125
14/12/1990,373.15,3.964
17/12/1990,376.85,3.95
18/12/1990,376,3.965
19/12/1990,376.8,3.971
20/12/1990,384.45,4.1035
21/12/1990,383.25,4.1485
27/12/1990,383.75,4.0975
28/12/1990,385.4,4.0945
02/01/1991,392.5,4.1635
03/01/1991,386.75,4.0965
04/01/1991,388.1,4.21
07/01/1991,391,4.2025
08/01/1991,392.8,4.25
09/01/1991,390.7,4.085
10/01/1991,388.5,4.1385
11/01/1991,390.4,4.151
14/01/1991,395.35,4.195
15/01/1991,398,4.205
16/01/1991,403.7,4.224
17/01/1991,383.5,4.0975
18/01/1991,380,4.041
21/01/1991,378.25,4.0375
22/01/1991,381.25,4.0285
23/01/1991,377.9,3.9775
24/01/1991,377.05,3.8725
25/01/1991,373.8,3.835
28/01/1991,374.5,3.806
29/01/1991,377.6,3.8575
30/01/1991,369.75,3.809
31/01/1991,369.6,3.826
01/02/1991,367.95,3.8785
04/02/1991,367,3.8625
05/02/1991,367.15,3.822
06/02/1991,360.9,3.81
07/02/1991,363.5,3.8
08/02/1991,368.3,3.8325
11/02/1991,368,3.8155
12/02/1991,362.05,3.66
13/02/1991,367.05,3.72
14/02/1991,366.85,3.769
15/02/1991,366.25,3.8185
18/02/1991,364.6,3.776
19/02/1991,361.6,3.74
20/02/1991,363.75,3.699
21/02/1991,361.5,3.663
22/02/1991,358.9,3.62
25/02/1991,357.5,3.5475
26/02/1991,359.1,3.6265
27/02/1991,360,3.614
28/02/1991,363,3.6785
01/03/1991,367.45,3.755
04/03/1991,365.5,3.755
05/03/1991,364.3,3.82
06/03/1991,363.6,3.831
07/03/1991,366.25,3.9075
08/03/1991,367.5,4.001
11/03/1991,369.25,4.17
12/03/1991,363.95,3.979
13/03/1991,365.2,4.059
14/03/1991,365.7,4.03
15/03/1991,363.6,4.0325
18/03/1991,363.4,4.0525
19/03/1991,362,3.944
20/03/1991,364.2,4.0375
21/03/1991,362.1,3.9755
22/03/1991,362.95,4.008
25/03/1991,361.75,3.9525
26/03/1991,358,3.9175
27/03/1991,357.1,3.899
28/03/1991,354,3.836
02/04/1991,357.9,3.935
03/04/1991,357.85,4.065
04/04/1991,358.1,4.0575
05/04/1991,358.3,4.0375
08/04/1991,358.8,3.96
09/04/1991,361.2,4
